sentences,EF,INF,ADR,DI,others,annotation,review_id,sentence_id,sent_start,sent_end
"Тогда она мне начала буквально впихивать этот фенистил ссылаясь на то, что ацикловир менее дейстенный и сейчас большим спросом пользуется фенистил так как хорошо помогает.",1,0,0,0,0,EF[1],2490571,6,292,463
"После приема первые два чача легче, но потом все симптомы возвращаются.",1,1,0,0,0,EF[1]|INF[2],2447728,2,49,120
Начал помогать быстро.,1,0,0,0,0,EF[1],594103,1,0,22
"Хоть нам и не помог Энцефабол по речи я его все же рекомендую, так как казалось бы при одном диагнозе ЗРР деткам могут помочь совсем разные лекарства кому-то одни, а кому-то другие.",0,1,0,0,0,INF[2],2414724,4,380,561
"Если пью 1 таблетку, то через некоторое время все равно просыпаюсь, то есть эффект не длительный.",1,1,0,0,0,EF[1]|INF[2],2671902,2,55,152
"Но продавав их 3 дня, сегодня 4 день ребёнок проснулся с температурой и соплями.",0,0,0,0,0,NEUTRAL,2497493,7,494,574
"Скажу сразу, особого эффекта я не почувствовала.",0,1,0,0,0,INF[2],955050,9,479,527
"Рекомендовать его не стану, так как нам он не помогает и покупать его тоже не буду, скорее всего будем пробовать что-то другое!",0,1,0,0,0,INF[1],2501951,6,506,633
Но эффекта было ноль.,0,1,0,0,0,INF[2],902248,4,156,177
"Не советую этот препарат, стоит не дешево, а эффекта ноль.",0,1,0,0,0,INF[2],614513,7,638,696
"Не вызывают агрессивных побочных эффектов и аллергических реакций, по крайней мере я не обнаруживала и даже не слышала ни от кого о подобных явлениях.",0,0,0,0,0,NEUTRAL,656242,3,208,358
Будьте здоровы!,0,0,0,0,0,NEUTRAL,616736,7,786,801
К тому же приятно радует цена и доступность этого лекарства.,0,0,0,0,0,NEUTRAL,893416,6,331,391
"В последнее время, семейные врачи предлагают своим пациентам отдавать предпочтение дешевым аналогам импортных препаратов отечественного производства.",0,0,0,0,0,NEUTRAL,873342,2,75,224
"Первые три дня всё было хорошо, почти исчезло головокружение и давление было в норме.",1,0,0,0,0,EF[1],2551330,5,325,410
"Красивая упаковка, тубус, все удобно открывать, крем довольно приятный, но вот результата от него нет.",0,1,0,0,0,INF[2],588785,4,461,563
"И вы знаете, помогло.",1,0,0,0,0,EF[2],1740396,3,192,213
Не стоит забывать про индивидуальную непереносимость!,0,0,0,0,0,NEUTRAL,2855204,9,684,737
"Потом появилась видимо привыкание организма к препарату, я стала все хуже и хуже засыпать.",1,1,0,0,0,INF[1]|EF[2],594839,3,596,686
"Тогда да, мазь поможет не заболеть, не пропустит инфекцию через нос.",1,0,0,0,0,EF[1],2452343,13,780,848
"Итог - температура спала через 2 дня, кашля и соплей не было.",1,0,0,0,0,EF[3],2407176,10,424,485
"Порошковый препарат, который эффективен при первых же симптомах простуды.",0,0,0,0,0,NEUTRAL,656346,1,0,73
"Не развернутыми предложениями, конечно, но с каждым днем все лучше и лучше.",1,0,0,0,0,EF[2],910944,7,370,445
Ей было три месяца и у нас нашли кисты в мозгу.,0,0,0,0,0,NEUTRAL,886333,2,40,87
Здраствуйте!,0,0,0,0,0,NEUTRAL,2451820,1,0,12
И лишь только азалептин-хорошо справляется с бессонницей но имеет побочных меньше чем аминазин.,1,0,0,0,0,EF[1],2702457,6,253,348
Так как это средство облегчает первые признаки боли в горле.,1,0,0,0,0,EF[1],2465822,2,134,194
"Этот спрей нам иногда помогает, когда уже насморк запущен настолько, что уже ничего не помогает.",1,0,0,0,0,EF[2],2402827,2,48,144
"Начала его принимать совершенно здоровой, через 1,5 недели после приема заболела.",0,1,0,0,0,INF[1],592814,5,270,351
А так очень даже эффективное средство.,1,0,0,0,0,EF[2],2685800,6,256,294
Сильных ОРВИ не было (прошло 2 мес.,0,0,0,0,0,NEUTRAL,652119,7,241,276
"В составе препарата - мята и валериана, т. е. это не снотворное в привычном нашем понимании, но этот препарат позволяет нашей нервной системе снять напряжение и расслабиться, в результате обеспечивается спокойный сон.",1,0,0,0,0,EF[1],2662915,4,257,474
"Пью его 2-3 раза в день, после еды, и уже буквально после трех дней я выздоравливаю, поэтому лично мне он помогает.",1,0,0,0,0,EF[2],950351,6,447,562
Этот противовирусный препарат очень уменьшает вероятность заболевания моих детей.,1,0,0,0,0,EF[2],641480,11,557,638
Сердечко стало меньше колоть и уснула быстро.,1,0,0,0,0,EF[1],2399213,5,420,465
"Так вот, я продавала 2 курса ""Ликопида"" в июле месяце и мой ребенок не болел всю осень и зиму.",1,0,0,0,0,EF[1],255563,9,689,783
"Доброго всем времени суток) На носу зима, а с ней и эпидемия гриппа, и нужно уже сейчас определяться с профилактикой, а возможно, и с его лечением.",0,0,0,0,0,NEUTRAL,2445928,1,0,147
"Потом попробовали его намазать летом - покусали комарики, да еще и расчесали - не помог тоже.",0,1,0,0,0,INF[4],591900,4,292,385
Простыла наша крошка-мы бегом в аптеку.,0,0,0,0,0,NEUTRAL,641485,3,135,174
Помог на 120%!,1,0,0,0,0,EF[2],1410682,6,400,414
И болезнь начала отступать.,1,0,0,0,0,EF[2],793853,8,716,743
"Первый раз эффекта не было - состояние улучшилось после приема ""Флемоксина"".",1,1,0,0,0,INF[1]|EF[2],2407176,7,271,347
"( Вечером выпила но-шпа как все прошло, пью два дня у меня не кружится голова и не болит)))если бы не но-шпа я не знаю что было со мной!",1,0,0,0,0,EF[1],800450,5,221,357
"Таблетки горькие, давала из в измельченном виде с водой.",0,0,0,0,0,NEUTRAL,2407176,6,214,270
Хороший препарат быстро сбивает температуру.,1,0,0,0,0,EF[1],2503806,3,114,158
"Но все же, даже не смотря на то, что мы не закончили курс лечения (8 недель), хочу отметить, что изменения к лучшему произошли, это точно.",1,0,0,0,0,EF[2],2407197,5,549,687
"Вычитав много литературы о волшебном свойстве Эхинацеи пурпурной -я купила ее в виде чая, теперь пью... эффекта тоже не вижу -но хоть знаю что и вреда не будет и дочка напиток оценила.",0,1,0,0,0,INF[2],2541923,12,735,919
"Я не страдаю бессонницей, но нужно было уснуть пораньше, чтобы рано встать.",0,0,0,0,0,NEUTRAL,151880,4,135,210
"Могу сказать, что насморк с этим гелем проходит очень быстро, проверено мною лично.",1,0,0,0,0,EF[1],610650,5,482,565
"Иммунофлазид один из немногих препаратов, который облегчает протекание ОРВИ.",1,0,0,0,0,EF[1],656340,2,232,308
"Легкую простуду заглушает сразу и на корню, но с более тяжелыми формами один Лемсип не справляется.",1,0,0,0,0,EF[1],2379731,4,410,509
RATING 2 NOTE,0,0,0,0,0,NEUTRAL,653736,8,1081,1094
"Да и по эффекту - с одного приёма начал ""срубать"" меня в сон через 10 минут!",1,0,0,0,0,EF[1],2855204,7,544,620
"Но слишком много употреблять данные таблетки не стоит, отрицательно скажется на желудке.",0,0,0,0,0,NEUTRAL,2732826,8,462,550
"Что ж, врачам, наверно, стоит верить, в особенности докторам наук ) Но, ситуация отечности носа усугублялась и чувствовала себя мелким гнусавым слоненком.",0,1,0,0,0,INF[1],3188437,6,494,648
"Мозг просто рвался от одновременно решаемых вопросов, требовалась особенная внимательность, чтобы ничего не забыть, в нужное время всем позвонить, нужное сказать, сделать... Препарат действительно хорош.",1,0,0,0,0,EF[1],811769,6,589,792
"Лично у меня он сбивает температуру, убирает ломоту в костях, облегчает боль в горле, и снимает немного насморк.",1,0,0,0,0,EF[3],635587,4,147,259
"Но температура не спадала, сделали укол, стало лучше.",1,0,0,0,0,EF[1],1263039,6,467,520
"Но через час после приема почувствовала значительное улучшение состояние здоровья (прошел озноб и жар, усталость).",1,0,0,0,0,EF[1],2420568,5,204,318
"Мазь продаеться в любой аптеки цена не высокая где-то 35 грн, на сегодняшний день это не много.",0,0,0,0,0,NEUTRAL,2450361,2,56,151
"Я скажу, что результат есть, если принимать четко по схеме, а именно до еды.",1,0,0,0,0,EF[1],822720,3,192,268
"Состав, вкус, цвет, запах, даже спиртовая основа, все совершенно идентично.",0,0,0,0,0,NEUTRAL,822720,6,581,656
"Очень помогает когда бывает повышенный пульс от волнения или от реакции на другие факторы, которые могут вызвать тахикардию.",1,0,0,0,0,EF[1],907319,2,96,220
"Уже через неделю перестал тянуть живот, а при окончании лечения (12 дней) от воспаления и следа не осталось))) Очень хорошее и эффективное средство местного действия.",1,0,0,0,0,EF[1],880567,6,824,990
Но на 8 день онемели пальцы а сейчас начали мерзнуть пальцы и не проходит.,0,0,0,0,0,NEUTRAL,3004353,2,47,121
"Поле зрения расширилось – боковым зрением стал лучше видеть, четкость возвращается.",1,0,0,0,0,EF[1],2436921,4,177,260
Пользовалась мазью четыре-пять дней.,0,0,0,0,0,NEUTRAL,835072,12,422,458
"Еще он мне хорошо помогала при спазмах в кишечнике и желудке, вызывая при этом здоровый аппетит.",1,0,0,0,0,EF[3],2822501,5,441,537
"Также хорошо что в этой серии есть ""тенотен детский"" очень хорошо помогает если ваш ребенок гиперактивный.",1,0,0,0,0,EF[2],1049528,5,430,536
"От постоянного использования капель эффекта никакого-привыкаешь и результата нет, и тем более слизистая оболочка страдает.",0,1,1,0,0,INF[1]|ADR[2],913153,2,84,206
"Пришла выпила один пакетик, не помог.",0,1,0,0,0,INF[1],2522012,4,69,106
"Через три часа смогла немного дышать носом, разговаривать с домашними ""не рыдая"" и не чихая каждую минуту.",1,0,0,0,0,EF[2],913556,7,261,367
"Стал пытаться повторять некоторые слова, подражания животным.",1,0,0,0,0,EF[2],609740,6,469,530
"Фармацевт посоветовала спрей Гриппферон, уверяла что очень эффективное средство способствует профилактике и лечению гриппа и ОРВИ.",1,0,0,0,0,EF[1],2410110,9,444,574
"После курса лечения ребенок стал более любознательным, но не уверенна, что именно от кортексина.",1,0,0,0,0,EF[1],609740,5,372,468
Последний раз покупала за 35 грн.,0,0,0,0,0,NEUTRAL,2705356,4,309,342
"Пью уже 2 месяц постоянно, за это время не было даже намека на герпес или простуду.",1,0,0,0,0,EF[3],2653511,8,707,790
"Тогда я решила принимать эти капельки, которые мне очень помогли.",1,0,0,0,0,EF[2],2438938,7,482,547
Наш малыш начал говорить по два три слова в предложении.,1,0,0,0,0,EF[1],2460790,7,592,648
Для профилактики и лечения гриппа выберите более надёжный препарат.,0,0,0,0,0,NEUTRAL,1484511,6,773,840
"Я этот препарат в основном принимал на вечер, так как от Барбовала идёт спецефичесский запах, за рулём употребляя данный препарат ездить нельзя, у меня нарушались функции движения и координации, такое впечатление, что я был пьяный, а в таком состояние страшновато садиться за руль автомобиля.",0,0,0,0,0,NEUTRAL,880939,2,201,493
"Я сразу заметила, что с препарат мне не подходит - появилась сильная отечность и заложенность носа.",0,1,0,0,0,INF[2],3188437,4,305,404
"Она по-прежнему присутствует в моей аптечке и успокаивает не только нервы, но и желудочно-кишечный тракт.",1,0,0,0,0,EF[2],2513399,11,701,806
"Нет уж, это пустая трата денег, которая не поможет защитить ваше здоровье ни на толику.",0,1,0,0,0,INF[2],2408295,10,653,740
Нужно между курсами делать перерыв месяца 3.,0,0,0,0,0,NEUTRAL,883078,9,472,516
Дозы указаны в инструкции.,0,0,0,0,0,NEUTRAL,271739,13,628,654
И уже на следующий день у меня все прошло.,1,0,0,0,0,EF[2],832817,7,695,737
В итоге никакого эффекта от этих леденцов я не заметила.,0,1,0,0,0,INF[3],2380047,13,754,810
"Ребенок спал уже практически всю ночь, просыпался но криков таких не было.",1,0,0,0,0,EF[2],2460834,6,607,681
"А вот в плане успокоения - не скажу, что не было эффекта.",1,0,0,0,0,EF[2],2534526,7,440,497
"Я не сказала бы, что это было спокойствие, скорее собранность и более холодная рассудительность.",1,0,0,0,0,EF[1],2670555,9,557,653
Уже года два-три даём этот препарат детям.,0,0,0,0,0,NEUTRAL,2436411,1,0,42
Именно таким неприятным моментом стало для меня выздоравливание от пневмонии.,1,0,0,0,0,EF[2],1086939,2,96,173
"Раньше после капель запах корвалола ещё минимум пол-часа мог оставаться вокруг меня, выдавая родным и близким, что что то не так со мной, а сейчас с применением таблеток моя тревога менее заметна окружающим.",1,0,0,0,0,EF[1],598445,5,438,645
"Температура не поднялась, слезы так и текли, также как и из носа все текло.",0,1,0,0,0,INF[5],2733509,9,458,533
"Есть различные вкусы, но по-моему мнению, с лимоном пить больше всего приятнее, остальное все сложно и неприятно по вкусу.",0,0,0,0,0,NEUTRAL,894297,3,157,279
"К сожалению, но в нашем случае дочке это средство не помогло.",0,1,0,0,0,INF[1],2555494,8,392,453
"Два дня Септефрил принимала, на ночь выпила Флю-колд, утром Амиксин, и что-то из них мне помогло.",1,0,0,0,0,EF[1],2674524,3,200,297
"Особого эффекта не заметила, так как ребенок как болел, так и болеет (с мазью ""Виферон"" или нет).",0,1,0,0,0,INF[2],2686291,2,164,261
"Ну подавала я глицина, а эффекта не особо почувствовала.",0,1,0,0,0,INF[1],2387405,8,411,467
Вывод таков: одно противовирусное средство не чаще 2 раз в год можно принимать.,0,0,0,0,0,NEUTRAL,590646,4,411,490
Общее впечатление : Отличный иммуномодулятор!,1,0,0,0,0,EF[1],953794,11,792,837
"У меня был обычный насморк, поэтому явного эффекта от применения капель Гриппферон я не заметила.",0,1,0,0,0,INF[1],250977,4,162,259
"Это к тому что на фоне всего происходящего он стал очень плаксивый, психованный, капризный, я будучи очень обеспокоенна его состоянием пошла к детскому неврологу, она с медсестрой покумекала и они пришли к решению что нам нужно выписать Успокоительное средство ""Глицин"" принимать в течении одного месяца, принимали в течении месяца не помогло абсолютно какой был нервный, психованный, такой и остался, так же может среди ночи проснуться с итерикой и ""Глицин"" не помог справиться ни с одной проблемой.",0,1,0,0,0,INF[1],275243,4,264,764
Помог нам быстрее побороть недуг.,1,0,0,0,0,EF[1],2658071,3,88,121
"Больше не куплю, деньги на ветер.",0,1,0,0,0,INF[2],2380047,15,893,926
"Засыпал лучше, чем обычно, истерики постепенно сошли на нет.",1,0,0,0,0,EF[3],822352,4,214,274
Выделения прекратились.,1,0,0,0,0,EF[4],1086939,13,788,811
"Курс я пропила, заболела всё-таки, но болезнь протекала легче и выздоровела я быстрее.",1,0,0,0,0,EF[1],2443835,5,338,424
"Буквально через день почувствовала эффект, пропила дня три-пять и все слава Богу прошло.",1,0,0,0,0,EF[1],873342,10,539,627
Нос с левой стороны внутри весь вспух и болел.,0,0,0,1,0,DI[1],835072,3,93,139
Цена тоже вполне приемлемая.,0,0,0,0,0,NEUTRAL,2555494,6,290,318
Мы одновременно делали ингаляции и на мой взгляд именно ингаляции нам помогли избавиться от простуды и боли в горле.,1,0,0,0,0,EF[2],2465822,10,591,707
"Советовали нам его давно еще для профилактики, слышала о нем много положительных отзывов.",0,0,0,0,0,NEUTRAL,2421166,2,52,141
"Этой мазью часто-густо пользовалась в осенне-зимний период, когда дочь шла в детсад.",0,0,0,0,0,NEUTRAL,656330,1,0,84
"Общее впечатление : Курс прошёл,а горло так и болит...",0,1,0,0,0,INF[2],944009,11,1026,1080
"Результаты стали видны через две недели, каждый день начали появляться новые слова, но был один момент.",1,0,0,0,0,EF[1],1740396,7,418,521
"Не понравился, ни вкус, ни запах... и эффект я тоже не увидела.",0,1,0,0,0,INF[3],2541923,1,0,63
"Не только при вирусных заболеваниях, но и при хронических инфекционно-воспалительных, вторичном иммунодефиците, при гинекологических заболеваниях и др.",0,0,0,0,0,NEUTRAL,953794,8,493,644
"Нам не помогал, болели часто.",0,1,0,0,0,INF[1],2448225,3,122,151
Да и сон не улучшился у меня.,0,1,0,0,0,INF[3],955050,11,585,614
Аллергии пока нет.,0,0,0,0,0,NEUTRAL,2698684,15,551,569
Вспомнила об Изопринозине.,0,0,0,0,0,NEUTRAL,1410682,4,321,347
"Да и болела я очень часто, но после их применения стала намного реже болеть гриппом и простудой.",1,0,0,0,0,EF[4],655424,7,356,452
"Препарат ""Эргоферон"" эффективен, но и цена приличная.",1,0,0,0,0,EF[4],822369,12,863,916
"Да и взрослым детский ""Антигриппин"" также помогает.",1,0,0,0,0,EF[1],273111,8,795,846
Быстро помогает.,1,0,0,0,0,EF[3],2685800,3,136,152
Потому как препарат не эффективен.,0,1,0,0,0,INF[1],817386,11,694,728
Мне не помогло.,0,1,0,0,0,INF[1],2733509,13,696,711
"Тут главное не переусердствовать, принимать по инструкции, а если в течении двух дней нет улучшений, лучше вызвать доктора.",0,0,0,0,0,NEUTRAL,24065,11,876,999
каждые 12 часов.,0,0,0,0,0,NEUTRAL,2509783,7,499,515
"Ни противовирусного, ни какого-то другого действия не имеет.",0,1,0,0,0,INF[1],815444,9,596,656
Сегодня уже третий день.,0,0,0,0,0,NEUTRAL,618939,8,295,319
С недавних пор начала страдать появлением герпеса на губах.,0,0,0,0,0,NEUTRAL,832817,1,0,59
"Препарат достаточно сильный, так что не рекомендую в качестве постоянного противовирусного средства.",0,0,0,0,0,NEUTRAL,811523,7,706,806
Инфекции есть у всех.,0,0,0,0,1,Other[4],882854,4,112,133
Т. е отличный припарат который отлично поддерживает иммунитет!,1,0,0,0,0,EF[1],2546207,8,738,800
"если пить регулярно, хотя-бы 2 недели и в принципе, стараться не нервничать, то помогает, хотя и не сразу... Общее впечатление : Успокаивает, но не всегда...",1,0,0,0,0,EF[1],940903,6,540,697
"Мой муж тоже подхватил какой-то вирус, принимал 2 дня и также поправился.",1,0,0,0,0,EF[2],635587,9,515,588
"Кстати у детских шипучек неплохие вкусы разные и детям нравятся как они шипят и растворяются в кипятке, поэтому они охотно их выпивают.",0,0,0,0,0,NEUTRAL,273111,7,659,794
"Сама жидкость бесцветная, с характерным запахом.",0,0,0,0,0,NEUTRAL,2438938,5,320,368
Общее впечатление : Отличное средство RATING 4 NOTE,0,0,0,0,0,NEUTRAL,875711,12,777,828
"В состав препарата входит: парацетамол, лоратадин, гидрохлорид римантадина, тригидрат рутозида, моногидрат глюконата кальция, кислота аскорбиновая.",0,0,0,0,0,NEUTRAL,2507228,13,586,733
"По инструкции сделала, как написано, расслабилась, и жду... жду... сон не спешит ко мне... настроение спокойное... пролежала, заснула поздно.",0,1,0,0,0,INF[2],2427129,2,320,461
"Нейтральный вкус всегда не оттолкнет ребенка, единственное неудобство заключается в применении .",0,0,0,0,0,NEUTRAL,656261,2,115,211
Также если в голове кавардак глицин помогает поставить голову на место.,1,0,0,0,0,EF[3],2445498,11,670,741
И вот насмотревшись рекламы о чудо-свойствах данного препарата я собралась в аптеку и приобрела рассасывающие таблетки.,0,0,0,0,0,NEUTRAL,944009,3,186,305
Общее впечатление : Быстродействующее средство RATING 4 NOTE,1,0,0,0,0,EF[3],616736,8,802,862
"А вот в четвертый и пятый раз, мне он не капельки ничего не облегчил простуда проходила по полной программе со всеми симптомами и по неделе, хотя принимала также при первых симптомах.",0,1,0,0,0,INF[1],612803,7,634,817
"Может быть препарат действительно помогает, но я этого не поняла.",0,1,0,0,0,INF[1],273783,10,631,696
Сердце молотит уже не так быстро.,1,0,0,0,0,EF[4],2445498,10,636,669
"Моя бабушка же сказала, что ей вроде помог-мозги вроде как лучше стали работать и по спокойней немного стала.",1,0,0,0,0,EF[1],2684706,3,220,329
В тот раз помогло.,1,0,0,0,0,EF[1],2653333,2,104,122
"Препарат только на один раз, организму он поможет, но дальше смысла нет деньги палить впустую.",0,1,0,0,0,INF[1],641485,6,404,498
"Но честно признаться, я не вижу ни каких результатов.",0,1,0,0,0,INF[1],2461123,9,457,510
Это хорошее средство против вируса.,1,0,0,0,0,EF[1],2510045,3,110,145
Мне помогало где то день на третий.,1,0,0,0,0,EF[3],609507,9,406,441
"Но во взрослой жизни, конечно-же стрессов куда больше... Поэтому, когда опять в глаза ""хоть спички вставляй"", пью 30 капель настойки пустырника.",0,0,0,0,0,NEUTRAL,940903,5,395,539
2.,0,0,0,0,0,NEUTRAL,2385125,6,425,427
"Это и ломота в суставах и температура а также депрессивное состояние, которое может быть все то время пока длится лечение.",0,0,0,0,0,NEUTRAL,2755968,5,497,619
"Он то да, притупил основные симптомы гриппа, но бороться с ним мне пришлось все-таки с помощью антибиотика.",0,1,0,0,0,INF[2],2658215,2,30,137
"Как лекарству от боли в горле не хватает немного обволакивающего свойства, как только конфетка растворяется, лечебное действие практически сразу проходит, однако как средство для снятия несильной боли, могу смело рекомендовать, в составе антибиотики и анестетик, благодаря которому боль действительно спадает.",1,0,0,0,0,EF[1],824400,3,208,517
Ну что можно сказать начну как обычно: большая картонная упаковка с изображением кружки в руках и названием.,0,0,0,0,0,NEUTRAL,2733509,2,38,146
"Общее впечатление : Препарат ""ни о чем"" RATING 1 NOTE",0,0,0,0,0,NEUTRAL,240878,15,717,770
Старая добрая валерьяночка помогает лучше.,1,0,0,0,0,EF[1],2423783,8,532,574
"Главное помнить, что использовать его можно не более семи дней, иначе может возникнуть привыкание.",0,0,0,0,0,NEUTRAL,2436121,7,591,689
"Общее впечатление : Азалептин, хорошое снатворное для людей страдающих бессоницей,и психическими заболеваниями.",1,0,0,0,0,EF[2],818785,6,626,737
Но мне ингавирин смог помочь за 3 дня.,1,0,0,0,0,EF[2],2663253,4,138,176
"Низ живота болеть перестал и я думаю, что еще несколько дней и можно идти прижигать эрозию.",1,0,0,0,0,EF[3],882854,21,746,837
"Действительно, если во время начать капать капли Грипферон помогают быстрее справится с болезнью.",1,0,0,0,0,EF[1],2540685,2,120,217
"Болезнь немного отступала, но потом с новой силой приходила и уже не какой ""Афлубин"" не помогал (хотя и пили мы его для профилактики по целому месяцу).",0,1,0,0,0,INF[1],2457636,5,344,495
"Он очень эффективен на самых ранних стадиях герпеса на губах, когда ещё только - только появляется дискомфорт и зуд на губе.",1,0,0,0,0,EF[1],942403,3,233,357
"Наверно как и у многих, у меня вечная проблема герпеса, до беременности вообще только немного подует ветер и все все губы в герпетическом высыпании .",0,0,0,0,0,NEUTRAL,2543328,1,0,149
"Если у вас насморк, смело покупайте, это средство обязательно поможет Время использования: 2 года Общее впечатление : удобен в применении и эффективен в борьбе с насморком RATING 5 NOTE",1,0,0,0,0,EF[1],269906,4,240,425
"Начинали принимать его в первый день заболевания по инструкции, и нам он совершенно не помог!!!",0,1,0,0,0,INF[1],2418485,10,714,809
Курс-2 недели.,0,0,0,0,0,NEUTRAL,656340,8,600,614
"Сон у меня улучшился, но беспокойство и раздражительность полностью не прошли.",1,1,0,0,0,EF[2]|INF[1],2731456,6,471,549
"У меня работа связана с постоянными стрессами, поэтому часто спасаюсь корвалолом.",0,0,0,0,0,NEUTRAL,2685800,7,295,376
"Капали мы 3 дня по 5 раз на день, а уже на четвертый день у нас появилась температура и кашель.",0,1,0,0,0,INF[1],644737,10,437,532
"К вечеру следующего дня почувствовала себя более менее нормальным человеком: нос - дышит, слез - нет, температура нормализовалась.",1,0,0,0,0,EF[1],913556,10,464,594
"Скажу так, средство не помогает ни при первых признаках, ни в период лечения скорейшему выздоровлению.",0,1,0,0,0,INF[1],936675,10,604,706
"Когда начинается грипп, на первых порах помогают неплохо шипучие таблетки от простуды ""АнтиГриппин ""Детский.",1,0,0,0,0,EF[2],273111,2,72,180
"Полегшало, забылись тревоги и вроде бы все хорошо.",1,0,0,0,0,EF[1],832096,7,443,493
"Составляющие я не знаю, но кому интересно может посмотреть аннотацию в интернете, способ применения я изложу: Первая таблетка пьется сразу - появляется облегчение, к приему второй таблетки, а это через 24 часа мне стало намного лучше.",1,0,0,0,0,EF[2],1400882,5,261,495
"Вакцина хорошая, никаких побочных действий или же осложнений не наблюдал после ее использования, а защиту дает очень хорошую.",1,0,0,0,0,EF[1],2453106,3,464,589
"Нравится, что этот препарат помимо сосудосуживающего эффекта помогает разжижать густые сопли.",1,0,0,0,0,EF[1],2695437,7,621,714
"мне так плохо было от них голова просто взрывалось, недомогание, усиление головокружение я думала умру!",0,1,0,0,0,INF[2],800450,4,117,220
"У ОБЕИХ: до 3х ни в одном глазу, примерно в 2 ночи началось сильное сердцебиение и лихорадка, к 5 ночи удалось заснуть, но было ощущение, что в полусне и были жуткие кошмары.",0,1,0,0,0,INF[1],151880,7,316,490
"Когда я и муж болели гриппом, то это средство закапывали малышу в целях профилактики.",0,0,0,0,0,NEUTRAL,591905,3,81,166
После отмены таблеток все прошло через неделю.,0,0,0,0,0,NEUTRAL,747352,9,561,607
Ужасный неэффективный препарат!,0,0,0,0,0,NEUTRAL,2461263,4,166,197
"Оно абсолютно не сбивает температуру 39, и другие симптомы гриппа не убирает, облегчения никакого.",0,1,0,0,0,INF[3],2433935,4,339,437
В 19-00 выпила вторую таблетку.,0,0,0,0,0,NEUTRAL,913556,8,368,399
для точности использовала пипетку от назальных капель Длянос.,0,0,0,0,0,NEUTRAL,2540685,7,490,551
Температура у ребёнка спала где-то через час после применения.,1,0,0,0,0,EF[1],624086,8,382,444
Никакой пользы они не принесут.,0,1,0,0,0,INF[2],817386,15,986,1017
Насморк не прошел.,0,1,0,0,0,INF[4],2698684,12,468,486
"По моему мнению препарат имеет очень высокую эффективность, что оправдывает сравнительно высокую цену.",1,0,0,0,0,EF[1],2690594,2,59,161
"Общее впечатление : Помогает, но дает сильную сыпь RATING 3 NOTE",1,0,0,0,0,EF[3],594103,7,149,213
Видимый эффект нам наверное рано еще судить но малыш простудился и простуда прошла в легкой форме.,1,0,0,0,0,EF[1],2732647,8,607,705
"Начала пить с первых симптомов заболевания строго по инструкции, но толку ни какого!!!",0,0,0,0,0,NEUTRAL,942554,1,0,86
Через несколько дней от простуды не осталось и следа.,1,0,0,0,0,EF[1],875711,8,510,563
"Обычно насморк проходит за 3-4 дня лечения, этот спрей за три дня не справился с ним.",0,1,0,0,0,INF[1],2379159,9,750,835
"И помогло, на третий день чувствовала себя уже отлично.",1,0,0,0,0,EF[1],2663253,9,284,339
Потом бабушка его тоже начала пить для профилактики.,0,0,0,0,0,NEUTRAL,2689273,7,503,555
"Малоэффективен, вызывает диарею, которая может продолжаться 2-3 дня.",0,1,0,0,0,INF[1],1979075,1,0,68
Так что эффект есть.,1,0,0,0,0,EF[3],2509783,5,363,383
"Дочке два года и она в августе впервые пошла в сад, начались проблемы с поведением.",0,0,0,0,0,NEUTRAL,2503811,2,61,144
"А вообще, конечно, при любых расстройствах лучше обратиться к врачу, вот он и назначит то, что наверняка поможет.",0,0,0,0,0,NEUTRAL,64509,8,579,692
"А так как свекровь - фармацевт, то у меня дома вседа лучшие препараты для лечения в самые болезненные периоды.",0,0,0,0,0,NEUTRAL,2492997,2,66,176
"А вот муж, на 5 день заболел и заразил меня.",0,1,0,0,0,INF[1],588478,8,558,602
"Спрей ИРС 19, меня как то не впечатлил.",0,0,0,0,0,NEUTRAL,265385,1,0,39
"Распыляла его в нос течении четырех дней, результата на меня не какого не оказал, слизистая еще больше раздражалось.",0,0,0,0,0,NEUTRAL,2410110,13,772,888
Поэтому в этом случае положительного эффекта я не наблюдал.,0,1,0,0,0,INF[1],591673,7,675,734
"После двух раз применения, с промежутком в 12 часов, получила признаки простуды (обильные выделения из носа (больше справа), чихание, увеличение шейных лимфоузлов).",0,1,0,0,0,INF[1],805646,1,0,164
"не знаю, может это только мне не помогло.",0,0,0,0,0,NEUTRAL,929986,19,792,833
Общее впечатление : Несколько раз использовали RATING 2 NOTE,0,0,0,0,0,NEUTRAL,591900,8,634,694
"Но мне и маме он подошёл лучше корвалола и т. д. Когда не могу долго уснуть тоже пью на ночь, только в меньшей дозировке.",1,0,0,0,0,EF[2],2700413,5,265,386
В течении вечера я постоянно мазала им и на утро уже красноты было меньше.,1,0,0,0,0,EF[2],2490571,11,830,904
"Забрали мы его из этого лагеря от греха подальше, дома за пять дней поставили на ноги.",0,0,0,0,0,NEUTRAL,2460904,4,466,552
"Головокружение вернулось и оно стало сильнее чем было, головная боль появилась, давление на месте не стояло.",0,1,0,0,0,INF[2],2551330,7,455,563
"Свечи мне понравились, время болезни сокращяют, симптомы облегчают, помогают справиться с соплями и предотвратить присоединение вирусной инфекции и избежать приём антибиотиков.",1,0,0,0,0,EF[1],2432421,4,245,421
