human_label	predicted_label	class_confidence	doc_id	sent_id	text
NEUTRAL	EF	0.87143457	151880	9	Весь следующий день у мамы болело сердце, а я была разбитая-хуже чем при гриппе.
EF	NEUTRAL	0.9978211	942280	7	После применения донормила у мужа исчезли такие явления как чиханье, насморк, зуд кожи.
INF	EF	0.9749287	614513	6	Мне легче ни стало даже на 3 день приема Ингавирина, хотя принимать начала при первых симптомах.
NEUTRAL	INF	0.8116148	2519044	4	Милая такая упаковочка Спасибо Фармаку, что хоть положили ложечку) Ведь плюсов я не нашла в нем кроме этой ложечки вообще.
EF	NEUTRAL	0.9892301	2389162	3	Как профилактическое средство не знаю работает или нет, а вот как лечебное средство работает, хоть конечно и не так эффективно как антибиотики))) Какой минус- маленький срок хранения((( Хранится только в холодильнике и после открытия капли годны только в течении 30 дней((( А в закрытом виде срок годности - 2 года!
NEUTRAL	EF	0.98633844	2389162	1	До беременности не знала о этом средстве)) А сейчас от простуды можно лечиться только каплями Гриппферон и Тантум-верде((( Стоят капли не дорого где-то 250 рублей, а эти же капли в виде спрея чуть-чуть подороже 350 рублей)) В виде спрея на мой взгляд намного удобнее, но сейчас у меня простые капли!!
NEUTRAL	EF	0.99708503	2700724	5	Удобный в применении, нужно всего лишь высыпать содержимое пакетика в горячую воду и помешать.
INF	NEUTRAL	0.99826044	240878	4	Хочется спросить у производителей, зачем я пичкала ребенка этой гадостью если она бесполезна?
NEUTRAL	INF	0.976294	2439190	1	С утра почувствовала недомогание, в аптеке изменила своему любимому Анаферону, выбрав Кагоцел.
NEUTRAL	EF	0.5129655	2513399	9	Но всю жизнь на таблетках жить не будешь и в итоге я все же сменила работу.
EF	NEUTRAL	0.82928604	2501540	6	3 дня и бляшка, которая обычно к этому моменту уже с половину губы, почти засохла.
NEUTRAL	EF	0.99846053	2501540	2	Иммунитет очень слабый и как результат с приходом холодов бахает на губах.
NEUTRAL	EF	0.9982829	885404	3	Неделю ходим, две-три дома болеем.
NEUTRAL	EF	0.99818134	885375	10	Еще для пущего эффекта с утра выпил еще порцию и с чувством бодрости пошел на работу.
EF	NEUTRAL	0.627348	2705356	8	Начинаю его использовать как только появляется зуд, все проходит в течение 3-4 дней.
NEUTRAL	EF	0.99837935	2705356	1	Так как у меня постоянная проблема с таким вирусом как герпес на губах я очень много лет искала действенное средство, которое быстро избавило бы меня от этой неприятности.
NEUTRAL	EF	0.9222958	2540419	6	Не понравился в нем только запах, очень уж он какой то приторный и непонятный... но думаю это при болезни не так уж и важно.
NEUTRAL	INF	0.9973908	2421119	2	Его эффективность не подтверждается ни одним рандомизированным исследованием, ни собственной практикой.
EF	NEUTRAL	0.5801547	886201	9	Всего чего я добилась от этого препарата принимаего 3 дня - это нормализовалась температура и естественно прошёл озноб.
NEUTRAL	EF	0.9966313	886201	4	Как заявляет производитель лекарство должен снять температуру, озноб, головную боль, боль в суставах и мышцах, заложенность носа, боль в горле и пазух носа.
EF	NEUTRAL	0.9982382	609740	6	Стал пытаться повторять некоторые слова, подражания животным.
EF	NEUTRAL	0.99825126	2379731	2	Много раз меня выручал во время командировок, когда на болезнь абсолютно нет времени, и каждый рабочий день на счету.
INF	EF	0.9975286	2379731	4	Легкую простуду заглушает сразу и на корню, но с более тяжелыми формами один Лемсип не справляется.
NEUTRAL	EF	0.9677871	899066	4	Пакетики выпускаются по 2 штуки, при отрыве которых они рвутся, а содержимое норовит быть рассыпанным.
INF	NEUTRAL	0.9978108	793853	3	И тогда врач нам выписал сумомед, мы его пропили, но ребенок болел, пошли снова к врачу.
INF	NEUTRAL	0.9968708	2398170	3	Однажды после очередной простуды, доктор приписал нам противовирусный препарат Афлубин (Bittner) для лечения старшему и младшему ребенку (8 месяцев) для профилактики, в итоге, дочка через недельку была в садике, а младшенький даже не болел, чему была безгранично рада.
NEUTRAL	EF	0.9985024	582797	1	Во время развода я очень сильно переживала и нервничала.
NEUTRAL	EF	0.9983796	1031967	5	После его приема у меня возникало желание поскорее лечь под теплое одеяло и уснуть.
