sentences,EF,INF,ADR,DI,Finding,annotation,review_id,sentence_id,p_EF,p_INF,p_ADR,p_DI,p_Finding
Есть предосторожность может слегка повышать температуру.,0,0,1,0,0,ADR[1],636267,9,0.001925021642819047,0.0020762388594448566,0.5902450084686279,0.07855411618947983,0.024003930389881134
"Общее впечатление : Есть подозрение, что у ребенка ОРВИ.",0,0,0,1,0,DI[3],636267,11,0.020068619400262833,0.022730741649866104,0.16031134128570557,0.44345468282699585,0.1834498941898346
Лаферобион всегда поможет.,0,0,0,0,0,NEUTRAL,636267,12,0.006537904962897301,0.007574903778731823,0.20259256660938263,0.33213117718696594,0.08493294566869736
"На следующий день отек носоглотки, заложенность носа, жжение в горле.",0,0,1,0,0,ADR[2],618939,6,0.008353084325790405,0.009921218268573284,0.43613189458847046,0.30034351348876953,0.07987339049577713
"Общее самочувствие лучше, но заложенность носа остается.",1,0,1,0,0,EF[3]|ADR[1],618939,9,0.011877626180648804,0.014663895592093468,0.7713161706924438,0.19798080623149872,0.0682099238038063
"Возможно это личная непереносимость, но на фоне предыдущего опыта с ваксигриппом ощущения крайне неприятные.",0,0,0,0,0,NEUTRAL,618939,12,0.0612071193754673,0.06516305357217789,0.35020169615745544,0.383648544549942,0.22285287082195282
"Насколько я знаю долго ей пользоваться нельзя, поскольку она может вызвать привыкание.",0,0,0,0,1,Finding[2],656330,4,0.10323542356491089,0.10422921180725098,0.3214733302593231,0.36363402009010315,0.30272093415260315
Общее впечатление : Малоэффективный препарат RATING 3 NOTE,0,1,0,0,0,INF[1],656330,12,0.015608610585331917,0.016251064836978912,0.12902183830738068,0.3755836486816406,0.1829160451889038
"Когда помогал, когда нет.",0,0,0,0,0,NEUTRAL,656330,6,0.023953448981046677,0.023863201960921288,0.1572853922843933,0.31734174489974976,0.23018161952495575
Ох уж эти стрессы!,0,0,0,1,0,DI[1],811512,1,0.0030862658750265837,0.0033823377452790737,0.74212646484375,0.08111336827278137,0.029248671606183052
"Опаснее всего они протекают у детей, особенно если они попали в серьезную стрессовую ситуацию... Так случилось у нас!",0,0,0,1,0,DI[3],811512,2,0.012826448306441307,0.014263029210269451,0.441164493560791,0.24947527050971985,0.11231748014688492
"Сынишка очень тяжело переживал не только смену жительства, но и испытывал страх перед новым классом, переживал о том, как его примет коллектив.",0,0,0,1,0,DI[4],811512,4,0.0693608969449997,0.08307601511478424,0.7341229915618896,0.28864961862564087,0.21205805242061615
"Мы всячески пытались его поддержать, но его неуверенность в себе поражала и то как он накручивал себя.",0,0,0,1,0,DI[5],811512,5,0.05271082744002342,0.06689463555812836,0.8067961931228638,0.26597630977630615,0.1448788195848465
"Мы как и было положено стали его принимать, но у ребенка сильно изменилось поведение.",0,0,1,0,0,ADR[2],811512,7,0.09260374307632446,0.1097123920917511,0.38426753878593445,0.44094499945640564,0.278683602809906
"Сынишка то был вялым сильно, то, наоборот вспышки агрессии.",0,0,1,0,0,ADR[6],811512,8,0.028788022696971893,0.04031522572040558,0.7312912940979004,0.3139805495738983,0.16819557547569275
Переезд и в связи с этим смена школы.,0,0,0,0,0,NEUTRAL,811512,3,0.0013057813048362732,0.0014608658384531736,0.8723223805427551,0.05589624494314194,0.022481875494122505
"Капли Тонзилгон-Н применяются при ЛОР-заболеваниях верхних дыхательных путей, обладает противовоспалительным, антибактериальным и иммуномодулирующим свойствами, активно применяется при лечении ОРВИ у детей.",0,0,0,1,0,DI[1],894083,1,0.042651113122701645,0.04128408432006836,0.14575564861297607,0.39458519220352173,0.3038402497768402
"Нам его назначили когда у дочки началась ангина, горло было красное, на миндалинах белый налет... надо было что-то делать.",0,0,0,1,0,DI[3],894083,2,0.03158535808324814,0.03050449676811695,0.1610119789838791,0.3574991226196289,0.2909681499004364
Через 14 дней горло почти зажило!,1,0,0,0,0,EF[2],894083,6,0.01712574064731598,0.01930762641131878,0.31406116485595703,0.30886977910995483,0.12361079454421997
"Меня очень смущал спирт в составе, муж сказал: ""Водка!",0,0,0,0,0,NEUTRAL,894083,4,0.11620592325925827,0.11524920910596848,0.32391220331192017,0.3186410963535309,0.3641276955604553
"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду.",0,0,1,0,0,ADR[2],211588,1,0.046427663415670395,0.05603044107556343,0.5186566114425659,0.39427825808525085,0.2053794115781784
Часа через 2 после приема таблеток начинает болеть живот.,0,0,1,0,0,ADR[3],211588,2,0.025275204330682755,0.02877698838710785,0.20749196410179138,0.45380857586860657,0.1722656488418579
Менструальный цикл после приема римантадина сбивается (нет месячных).,0,0,1,0,0,ADR[1],211588,3,0.008943164721131325,0.010281171649694443,0.1681234985589981,0.4087061882019043,0.15257780253887177
Общее впечатление : побочных эффектов масса,0,0,0,0,0,NEUTRAL,211588,7,0.2294214516878128,0.17699719965457916,0.41248831152915955,0.2164643406867981,0.7206374406814575
"Объясню почему, начала я его принимать для профилактики гриппа, т. к. сейчас сезон и только и говорят о новом гриппе.",0,0,0,1,1,DI[3]|Finding[4],3022901,2,0.05625710263848305,0.05462071672081947,0.16832250356674194,0.43294838070869446,0.3234560787677765
"В первый день я почувствовала недомогание, общее, как будто в полудреме ходила, но списала это на недосып.",0,0,1,0,1,ADR[5]|Finding[1],3022901,3,0.14133746922016144,0.16819943487644196,0.6592422127723694,0.3745572865009308,0.29288527369499207
"Второй и третий день, тоже самое, плюс головокружение, но тут уже не было сомнений, что это побочный эффект от Ремантадина.",0,0,1,0,0,ADR[2],3022901,4,0.02580183371901512,0.028969427570700645,0.28783369064331055,0.4179062843322754,0.20188085734844208
"В аннотации к нему, указано очень много побочных эффектов!",0,0,0,0,0,NEUTRAL,3022901,6,0.05876579135656357,0.05762537568807602,0.2271159142255783,0.36390945315361023,0.2856181561946869
Помогают хорошо!,1,0,0,0,0,EF[1],6993980,13,0.05002214387059212,0.05078580230474472,0.24701684713363647,0.34239622950553894,0.24961668252944946
"Но почему- то в аптеке посоветовали их и сама сравнив цену тех, которых и пачки не хватит и неудобно пить несколько раз в день, я решили купить их.",0,0,0,0,0,NEUTRAL,6993980,5,0.12128101289272308,0.1239946037530899,0.308168888092041,0.369240939617157,0.3384740352630615
"Старшему сыну первые две прививки от дифтерии, столбняка и коклюша делали вакциной ""Пентаксим"", мне настоятельно рекомендовали педиатры нашей поликлиники.",0,0,0,1,0,DI[1],2394715,1,0.03468546271324158,0.035620059818029404,0.12990660965442657,0.4513078033924103,0.31101375818252563
"Не было никаких проявлений побочных эффектов- ни температуры, ни слабости.",0,0,0,0,1,Finding[2],2394715,6,0.026396559551358223,0.0320424884557724,0.3072633743286133,0.3752099573612213,0.15867561101913452
"После второй вакцинации на третий день после прививки у неё поднялась температура до 37.5, но упала самостоятельно, без применения жаропонижающих средств.",0,0,1,0,0,ADR[4],2394715,8,0.01275069173425436,0.013932141475379467,0.16125823557376862,0.36455368995666504,0.15817607939243317
"Некоторые мамы пугаются прививок, идя на поводу провокаций против вакцинации, но я считаю, что это единственный способ уберечь своих детей от таких опасных заболеваний, как дифтерия, столбняк и коклюш.",0,0,0,0,1,Finding[3],2394715,9,0.023886682465672493,0.025097766891121864,0.1394609808921814,0.44254159927368164,0.2708059847354889
"И третью прививку делали АКДС, спустя большой промежуток времени (много и часто болели, был мед.",0,0,0,0,0,NEUTRAL,2394715,3,0.19631709158420563,0.18208113312721252,0.3410937190055847,0.27148839831352234,0.6342350840568542
"Фармацевт нам посоветовала взять сироп ""БИОАРОН С"", как наиболее эффективное средство в период простудных заболеваний.",0,0,0,0,1,Finding[3],2389422,4,0.059645745903253555,0.061419036239385605,0.15841935575008392,0.4422369599342346,0.3510904908180237
"Ребенок стал болеть пуще прежнего, конечно виной всему адаптация к новому коллективу.",0,0,1,0,0,ADR[1],2389422,7,0.03853734955191612,0.047924790531396866,0.7185623049736023,0.2992814779281616,0.1416996866464615
"Лучше уж использовать проверенные народные средства: мед, шиповник, малина, ... Может это индивидуально, но нам сироп не подошел, больше брать не будем и не рекомендую.",0,1,0,0,0,INF[2],2389422,9,0.0260351300239563,0.027379078790545464,0.13902390003204346,0.39475104212760925,0.27659326791763306
И часто выбрать что-то хорошее не просто.,0,0,0,0,0,NEUTRAL,2389422,2,0.0168943889439106,0.01676507294178009,0.3670305609703064,0.17670448124408722,0.16460204124450684
"малыш у меня гиперактивный, но спусть дней 15 я вижу что препарат малыша еще сильнее активизирует.",0,0,1,1,0,ADR[1]|DI[2],241201,2,0.11962968856096268,0.12819042801856995,0.34991127252578735,0.414547860622406,0.3430405557155609
"малышу 1,3 месяца.",0,0,0,0,0,NEUTRAL,241201,3,0.007875182665884495,0.009165667928755283,0.19263224303722382,0.350917786359787,0.1430320292711258
"Выпив таблеточк, у я очень хорошо почувствовала на себе угнетенное подавленное состояние.",0,0,1,0,0,ADR[1],2528491,5,0.08926565200090408,0.10115426033735275,0.406538724899292,0.3966808319091797,0.2655799090862274
"Собственно, это действие всех транквилизаторов, затормозить разум и сознание.",0,0,1,0,0,ADR[3],2528491,6,0.0422167107462883,0.05095389485359192,0.7256773114204407,0.3182704746723175,0.1416313350200653
"Меня не только успокоили эти таблетки, но и отбили охоту отвечать на вопросы и разговаривать, оставалось только тупо лежать и смотреть телек.",0,0,1,0,0,ADR[2],2528491,7,0.061439331620931625,0.07492612302303314,0.8076881766319275,0.23756510019302368,0.16856442391872406
"Таблетки ""Афобазол"" очень часто мелькают в телевизионной рекламе.",0,0,0,0,0,NEUTRAL,2528491,1,0.06571485847234726,0.06806589663028717,0.2176833301782608,0.4456928074359894,0.29758453369140625
"После применения капель сильно заложило нос, просто начала задыхаться, до потери сознания.",0,0,1,0,0,ADR[5],2461263,1,0.021578233689069748,0.027539119124412537,0.7650237679481506,0.3130393922328949,0.11166191846132278
Сосуды совсем не сужает!!,0,1,0,0,0,INF[4],2461263,2,0.014509803615510464,0.016546372324228287,0.16445735096931458,0.4336877167224884,0.18021927773952484
Один раз капнула - всю кожу вокруг носа разъело!,0,0,1,0,0,ADR[2],2461263,3,0.014428962022066116,0.017199020832777023,0.18345770239830017,0.43354037404060364,0.12632113695144653
И более того с обратным действием - вызывает заложенность и удушье.,0,1,1,0,0,INF[3]|ADR[1],2461263,5,0.036384254693984985,0.04118833318352699,0.4306061267852783,0.35243943333625793,0.15279418230056763
Ужасный неэффективный препарат!,0,0,0,0,0,NEUTRAL,2461263,4,0.016640380024909973,0.017234239727258682,0.17166848480701447,0.3612905740737915,0.1699250340461731
"Препарат активно рекламируется как противовирусный, помогающий в профилактике и лечении гриппа, повышающий иммунитет, оказывающий противовоспалительное, жаропонижающее и обезболивающее действие.",0,0,0,1,1,DI[6]|Finding[9],1484511,1,0.12144627422094345,0.1266646832227707,0.28476786613464355,0.42564478516578674,0.33679649233818054
"Однако, ни профилактического, ни лечебного эффекта я совершенно не заметила.",0,1,0,1,0,INF[1]|DI[2],1484511,2,0.14316615462303162,0.15884052217006683,0.4606279134750366,0.3656850755214691,0.27803340554237366
"Кроме гриппа, согласно инструкции, Амизон применяют при менингоэнцефалитах, краснухе, ветряной оспе, паротите, инфекционном мононуклеозе, вирусных гепатитах А и Е, пневмонии, ангинах.",0,0,0,0,1,Finding[4],1484511,3,0.07391791045665741,0.0757313221693039,0.21031244099140167,0.4730605185031891,0.30422714352607727
"Но в качестве побочных эффектов указаны: одышка, раздражение горла, головная боль, колебания давления, тошнота, рвота, изжога, боль в животе, диарея.",0,0,0,0,1,Finding[3],1484511,4,0.10865049064159393,0.11608275771141052,0.4064229130744934,0.4108872413635254,0.2821148633956909
"Из побочных эффектов у себя я наблюдала головную боль, боль в животе, снижение аппетита, снижение функции щитовидной железы ( выявил эндокринолог после обследования).",0,0,1,0,0,ADR[8],1484511,5,0.06739930063486099,0.07447011768817902,0.3001989722251892,0.44855833053588867,0.24918606877326965
Для профилактики и лечения гриппа выберите более надёжный препарат.,0,0,0,1,0,DI[7],1484511,6,0.009695135988295078,0.011346759274601936,0.1041019856929779,0.4620600640773773,0.15006211400032043
"Пользы нет, зато для щитовидки вред!",0,1,0,0,0,INF[5],1484511,8,0.0376528762280941,0.04151390492916107,0.1669473499059677,0.4840147793292999,0.2604737877845764
Общее впечатление : Осторожно!,0,0,0,0,0,NEUTRAL,1484511,7,0.009765520691871643,0.010858585126698017,0.5032114386558533,0.15499097108840942,0.07014523446559906
"Пройдя двухнедельное лечение, я заметила, что мне стало значительно легче подниматься на девятый этаж (лифт, к сожалению, не работал) и общее состояние тоже стало лучше.",1,0,0,0,0,EF[2],2396436,4,0.059427399188280106,0.07343532145023346,0.6354754567146301,0.3354995548725128,0.16811004281044006
"Таким образом я пришла к выводу, что Кардонат действительно эффективное средство.",1,0,0,0,0,EF[1],2396436,5,0.14064531028270721,0.15209197998046875,0.4063034653663635,0.3960638642311096,0.29169315099716187
С этим препаратом я познакомилась в 2009 году - когда была беременна.,0,0,0,0,0,NEUTRAL,2396436,1,0.0731034055352211,0.0723482146859169,0.2776252031326294,0.356130987405777,0.2980847954750061
"После двух раз применения, с промежутком в 12 часов, получила признаки простуды (обильные выделения из носа (больше справа), чихание, увеличение шейных лимфоузлов).",0,1,0,1,0,INF[1]|DI[5],805646,1,0.0025891796685755253,0.003020455362275243,0.8369688391685486,0.11629758030176163,0.032228704541921616
Слизистая носа (больше справа)покрылась белым налётом с кровоточащими изъязвлениями.,0,0,0,1,0,DI[4],805646,2,0.0075398655608296394,0.010435843840241432,0.6802501678466797,0.22388572990894318,0.046841297298669815
Имею проблему заложенности носа справа.,0,0,0,1,0,DI[3],805646,6,0.006071323994547129,0.007497643120586872,0.6533627510070801,0.2175784409046173,0.04210851714015007
"Неоднократно обследовалась; аллергии, новообразований нет.",0,0,0,0,1,Finding[2],805646,7,0.02642485499382019,0.0327904187142849,0.5110185146331787,0.32602259516716003,0.11564827710390091
"Надеюсь, что обойдётся.",0,0,0,0,0,NEUTRAL,805646,5,0.08031895756721497,0.08475446701049805,0.4310207962989807,0.31470805406570435,0.2320784628391266
Например его лучше не употреблять перед сном- может быть бессонница.,0,0,1,0,0,ADR[4],942872,9,0.08365210890769958,0.08851831406354904,0.33388322591781616,0.4134403169155121,0.2558741569519043
"Просто препарат хорошо улучшает кровообращение в голове, из за этого такой эффект наступает –просто принимать его надо пораньше, и тогда бессонницы не будет.",1,0,1,0,1,EF[2]|ADR[1]|Finding[3],942872,10,0.08472275733947754,0.09675712138414383,0.6751053333282471,0.3172014653682709,0.2103024125099182
Но у современных препаратов довольно таки высокая цена.,0,0,0,0,0,NEUTRAL,942872,6,0.06985493749380112,0.07296694815158844,0.2969716787338257,0.3752647340297699,0.23483797907829285
Конкретно успокаивают посильнее иных таблеток.,1,0,0,0,0,EF[2],3004353,1,0.01762426644563675,0.020361285656690598,0.2727771997451782,0.31437280774116516,0.13817976415157318
Но на 8 день онемели пальцы а сейчас начали мерзнуть пальцы и не проходит.,0,0,1,0,0,ADR[1],3004353,2,0.02225000225007534,0.027957309037446976,0.335436075925827,0.4162916839122772,0.17622990906238556
Надеюсь пройдет,0,0,0,0,0,NEUTRAL,3004353,4,0.43062347173690796,0.30303674936294556,0.5071715116500854,0.2413526177406311,0.7717410922050476
"Дочка 4 года сильно проболела ОРВИ в течение месяца (два ложных крупа, ларинготрахеит).",0,0,0,1,0,DI[3],2706058,1,0.019099468365311623,0.023774344474077225,0.14897839725017548,0.5322964191436768,0.17057651281356812
Анализы крови показали низкий иммунитет и наличие вируса Эпштайна-Барр.,0,0,0,1,0,DI[4],2706058,2,0.018241455778479576,0.02173883654177189,0.10356742143630981,0.5536807775497437,0.2240806221961975
"Я начала давать дочке препарат, на второй день дочка стала жаловаться на боли в животе.",0,0,1,0,0,ADR[5],2706058,4,0.06409826129674911,0.07359984517097473,0.2618280351161957,0.4471913278102875,0.25634709000587463
"К вечеру побледнела и еле кушала, боли в животе были сильные.",0,0,1,0,0,ADR[1],2706058,5,0.05921585485339165,0.07047770917415619,0.38354092836380005,0.4092910587787628,0.23267444968223572
"Нашей дочке препарат не подошел, побочка оказалась сильновыраженной.",0,1,0,0,0,INF[2],2706058,7,0.06325961649417877,0.0656079649925232,0.23590287566184998,0.428480863571167,0.26588281989097595
Врач иммунолог прописала Изопринозин.,0,0,0,0,0,NEUTRAL,2706058,3,0.014463034458458424,0.01669912040233612,0.054735440760850906,0.6204223036766052,0.2690773904323578
"Она нам прописала лекарственное средство Пантогам, сказала просто пропить для лучшей мозговой деятельности.",0,0,0,1,0,DI[3],1105026,2,0.04354609549045563,0.048577919602394104,0.1796576976776123,0.4346650242805481,0.333645224571228
"У меня ребенок сам по себе спокойный был, а тут начала давать пантогам, он начал орать, капризничать, не спать по ночам.",0,0,1,0,0,ADR[2],1105026,3,0.11678441613912582,0.13458700478076935,0.4281827211380005,0.42002570629119873,0.35205352306365967
"Я отменила его, перестала давать, через два дня ребенок стал опять спокойненький.",0,0,0,0,1,Finding[4],1105026,5,0.0615132637321949,0.06882008910179138,0.25918588042259216,0.4225628674030304,0.2776564359664917
Но если все таки вам его прописали прочитайте хорошо аннотацию прежде чем его давать Общее впечатление : ребенок стал возбужденным,0,0,1,0,0,ADR[1],1105026,7,0.5694084167480469,0.44494256377220154,0.5701417922973633,0.28262099623680115,0.8061929941177368
"Так, что я не рекомендую и не советую покупать лекарственное средство Пантогам особенно детям.",0,0,0,0,0,NEUTRAL,1105026,6,0.04447976127266884,0.04835767671465874,0.15376587212085724,0.4704529941082001,0.3261578381061554
В итоге никакого эффекта от этих леденцов я не заметила.,0,1,0,0,0,INF[2],2380047,13,0.06986802071332932,0.06952039897441864,0.2669976055622101,0.3513977527618408,0.2763465642929077
А вот Ново - пассит действительно успокаивающе действовал на мою нервную систему.,1,0,0,0,0,EF[1],2380047,14,0.09405819326639175,0.11048358678817749,0.3908083438873291,0.4396081566810608,0.3003697395324707
"Больше не куплю, деньги на ветер.",0,1,0,0,0,INF[3],2380047,15,0.04334178939461708,0.047170113772153854,0.2967461347579956,0.39280378818511963,0.20659464597702026
"получается что совсем и не дешево выходит, в упаковке только 2 пластинки, каждая на 1 день получается.",0,0,0,0,0,NEUTRAL,2380047,8,0.1277620792388916,0.12233424931764603,0.2789706289768219,0.36928579211235046,0.34983548521995544
"Начали его применять в пятницу и сразу спала температура, на следующий день улучшилось состояние ребёнка, НО в воскресенье утром после очередного введения препарата пошла сыпь.",1,0,1,1,0,EF[2]|ADR[4]|DI[5],2550809,2,0.03640265017747879,0.04411972314119339,0.2762952148914337,0.421466588973999,0.2025938183069229
"Вначале появилась на лице, приблизительно через час сыпь уже была на груди, потом на спине, а потом появилась и на руках за считанные часы.",0,0,1,0,0,ADR[6],2550809,3,0.03671864792704582,0.04569268226623535,0.7599062323570251,0.25052210688591003,0.164601668715477
"Но как ни странно в инструкции к препарату написано, что аллергия очень редкое явление.",0,0,1,0,0,ADR[1],2550809,5,0.09891033172607422,0.10090436041355133,0.26669183373451233,0.435138463973999,0.3205298185348511
У неё тоже самое по всему телу аллергия на этот же препарат.,0,0,1,0,0,ADR[3],2550809,7,0.07484766840934753,0.07746626436710358,0.2698761820793152,0.43486398458480835,0.2901354432106018
"Получается производители солгали написав в побочных действиях, что аллергия редкий случай.",0,0,1,0,0,ADR[7],2550809,8,0.050297778099775314,0.053022343665361404,0.19110921025276184,0.4458999037742615,0.2842003107070923
"Этот препарат прописали моему малышу, ему 10 месяцев.",0,0,0,0,0,NEUTRAL,2550809,1,0.08996708691120148,0.09317720681428909,0.2509382665157318,0.4280179738998413,0.32094842195510864
"Таблетки Циклоферон я покупала еще в сентябре 2016 года, по совету врача начала давать его ребенку для профилактики вирусных инфекций перед походом в сад после летнего ""отпуска"".",0,0,0,1,0,DI[12],4453482,1,0.030838394537568092,0.028096674010157585,0.17390067875385284,0.3151141107082367,0.315178245306015
"К сожалению, как профилактика, этот препарат оказался для нас неэффективным- ребенок все равно ""принес"" домой очередной вирус и мне пришлось опять оформлять больничный лист.",1,0,0,1,0,EF[11]|DI[1],4453482,2,0.07766947895288467,0.0806366428732872,0.2816709876060486,0.3556104302406311,0.29814058542251587
"Из собственного опыта скажу, что эти таблетки эффективны, если начать их прием при первых же признаках вируса.",1,0,0,0,0,EF[9],4453482,6,0.05201992392539978,0.05157679691910744,0.25535938143730164,0.3425922393798828,0.24330709874629974
"Этот препарат значительно облегчает состояние организма, все протекает легче, и муж, и я быстрее шли на поправку.",1,0,0,0,0,EF[10],4453482,11,0.11097460985183716,0.11891283839941025,0.43377184867858887,0.38755306601524353,0.271896094083786
"После первых 4-х таблеток Циклоферона мужу уже на утро стало намного легче, еще через день он почти выздоровел.",1,0,0,0,0,EF[5],4453482,12,0.050604525953531265,0.055818669497966766,0.25258997082710266,0.4218762218952179,0.2503575086593628
"Так что можете смело покупать упаковку таблеток Циклоферон перед сезоном простуд, если не успели позаботиться об укреплении иммунитета, они здорово помогают в процессе избавления от вирусных заболеваний.",1,0,0,1,1,EF[3]|DI[8]|Finding[4],4453482,13,0.03749556466937065,0.03666415438055992,0.16911402344703674,0.37426143884658813,0.2991064786911011
"А вот в качестве профилактики не увидела никакого результата, поэтому и оценку препарату ставлю четверку.",0,1,0,1,0,INF[6]|DI[7],4453482,14,0.06645079702138901,0.07299746572971344,0.3676242232322693,0.3504689633846283,0.21696102619171143
"А  мы принимали в прошлом году, мне кажется, они более эффективные!!",1,0,0,0,0,EF[2],4453482,18,0.006635185796767473,0.006599718239158392,0.06261415779590607,0.3387144207954407,0.20397645235061646
"Когда чувствуете, что вирус начинает проявлять себя, принимайте таблетки Циклоферон по следующей схеме.",0,0,0,0,0,NEUTRAL,4453482,10,0.010553580708801746,0.011915297247469425,0.09075246006250381,0.48278334736824036,0.16206970810890198
"Раньше я на работе очень сильно нервничала, но моя работа связана с людьми, так что стрессы мне были не уместны.",0,0,0,1,0,DI[2],2438938,6,0.1687726378440857,0.19253438711166382,0.43430235981941223,0.4144802689552307,0.36229780316352844
"Тогда я решила принимать эти капельки, которые мне очень помогли.",1,0,0,0,0,EF[3],2438938,7,0.07033709436655045,0.07218581438064575,0.2966804504394531,0.3290509879589081,0.2843245565891266
Хороший препарат и главное что помогает.,1,0,0,0,0,EF[1],2438938,8,0.08143457025289536,0.08201092481613159,0.3143121898174286,0.3555104732513428,0.2765546441078186
"Наверное все из вас видели рекламу успокоительного и седативного средства Барбовал, который так часто рекламируют по телевизору.",0,0,0,0,0,NEUTRAL,2438938,1,0.12067833542823792,0.11848405003547668,0.3625515103340149,0.33675625920295715,0.3646594285964966
Насморк это постоянный спутник простудных заболеваний.,0,0,0,1,0,DI[5],2436121,1,0.020269883796572685,0.024957016110420227,0.22275997698307037,0.4216712415218353,0.1463746875524521
"Каждый понимает, какого это ощущать постоянную заложенность носа: не спать ночами, не ощущать вкуса еды, мучиться из-за сухости в горле, так как приходится дышать ртом.",0,0,0,1,1,DI[1]|Finding[6],2436121,3,0.09536155313253403,0.10121352970600128,0.5033707022666931,0.34749266505241394,0.29002439975738525
"Раньше я пользовалась Нафтизином, но так как он вызывает сильнейшее привыкание и сушит слизистую пришлось заменить его на более дорогие препараты.",0,0,1,0,0,ADR[4],2436121,4,0.08814500272274017,0.08801236748695374,0.320218563079834,0.32958924770355225,0.2913843095302582
"Он отлично устраняет заложенность носа, снимает отек слизистой оболочки устраняет выделения из носа.",1,0,0,1,0,EF[7]|DI[2],2436121,6,0.1039593517780304,0.10627060383558273,0.40085506439208984,0.34176450967788696,0.275960236787796
"Главное помнить, что использовать его можно не более семи дней, иначе может возникнуть привыкание.",0,0,1,0,0,ADR[3],2436121,7,0.12725533545017242,0.13399070501327515,0.4204864501953125,0.3682228922843933,0.2609195113182068
"Я многое перепробовала, но предпочтение отдала все-таки Ксимелину.",0,0,0,0,0,NEUTRAL,2436121,5,0.0464540533721447,0.04717972129583359,0.22780808806419373,0.3762494921684265,0.2737106382846832
"Сходила к терапевту с симптомами: небольшое повышение температуры, насморк сильный и голова болит, наверное от насморка.",0,0,0,1,0,DI[1],3263317,7,0.055217307060956955,0.06050200015306473,0.4139701724052429,0.3882429599761963,0.21510902047157288
"Но уже на вторые сутки применения я стала чувствовать себя лучше, не скажу, что хорошо, но лучше.",1,0,0,0,0,EF[4],3263317,14,0.12995465099811554,0.14111840724945068,0.5422702431678772,0.3506756126880646,0.2598552405834198
Температура поднималась только к вечеру.,0,0,0,1,0,DI[5],3263317,15,0.0060719712637364864,0.007822884246706963,0.31586501002311707,0.24417683482170105,0.07387591153383255
"И плюс промывала нос, потому что насморк был ужасный.",0,0,0,1,0,DI[6],3263317,17,0.05522911995649338,0.05840643495321274,0.2687823474407196,0.3677414655685425,0.24977846443653107
"У меня нос весь красный стал и шелушащийся, теперь обильно мажу жирным кремом.",0,0,0,1,0,DI[2],3263317,18,0.04356479272246361,0.04871823266148567,0.37828195095062256,0.372763991355896,0.18597953021526337
"В итоге, что хочу сказать Свечи Виферон мне понравились и что самое главное, я заметила эффект и результат от них.",1,0,0,0,0,EF[3],3263317,19,0.0531688891351223,0.048802465200424194,0.20850056409835815,0.29006320238113403,0.33923810720443726
"В общем, назначили мне Свечи Виферон в дозировке №2 (это 500 000 МЕ) по 2 раза в день, через каждые 12 часов.",0,0,0,0,0,NEUTRAL,3263317,12,0.015060818754136562,0.01418590359389782,0.1065310463309288,0.32307854294776917,0.20760348439216614
"Когда наступает время грипов, очень хочется защитить своих деток.",0,0,0,1,0,DI[4],641480,2,0.008134855888783932,0.009465949609875679,0.14107224345207214,0.42398372292518616,0.1586756855249405
"Он и лечит, и для профилактики можно принимать, и имунитет он повышает.",1,0,0,1,0,EF[2]|DI[1],641480,5,0.1381920874118805,0.1469365507364273,0.40287497639656067,0.39340662956237793,0.3094307482242584
Этот противовирусный препарат очень уменьшает вероятность заболевания моих детей.,1,0,0,0,0,EF[3],641480,11,0.03768016770482063,0.03848639130592346,0.1562785804271698,0.4147317409515381,0.24926236271858215
"Если бы все родители серьезно относились к здоровью своих детей и не приводили их больных в детские сады, то грипом болели бы но много меньше.",0,0,0,1,0,DI[5],641480,12,0.030116699635982513,0.03185829520225525,0.15243636071681976,0.4282529354095459,0.28633788228034973
Имунофлазит есть по 50 мл и по 100 мл.,0,0,0,0,0,NEUTRAL,641480,8,0.01524514239281416,0.017759989947080612,0.0832548663020134,0.5998852252960205,0.2136518806219101
Никакого положительного воздействия на детский организм во время ОРВИ не наблюдала.,0,1,0,1,0,INF[1]|DI[2],2662704,2,0.03738664463162422,0.042070139199495316,0.21317823231220245,0.3994126319885254,0.21501678228378296
"Собственно, делаю вывод, что лечение гриппа гомеопатией - не для моих детей.",0,0,0,1,0,DI[3],2662704,3,0.07118315249681473,0.07397957891225815,0.18930500745773315,0.4748144745826721,0.32090553641319275
Покупала анаферон детям по назначению врача.,0,0,0,0,0,NEUTRAL,2662704,1,0.012709950096905231,0.012901592068374157,0.06484794616699219,0.44903454184532166,0.22806653380393982
"Нашли сильное воспаление, врач удивился что я раньше не пришла, ведь у меня должны были быть сильные боли.",0,0,0,1,0,DI[3],880567,2,0.04290604218840599,0.05344289913773537,0.31440505385398865,0.4221075773239136,0.20427840948104858
"Боли конечно были, но не такие сильные как по мнению врача, а так как мне делали кесарево, то я первые 2 месяца кроме шва вообще ничего не чувствовала, а потом просто тянул низ живота, я думала это процесс заживления после операции.",0,0,0,1,0,DI[2],880567,3,0.0691598653793335,0.08791757375001907,0.5345181822776794,0.4007485508918762,0.2942507565021515
"Уже через неделю перестал тянуть живот, а при окончании лечения (12 дней) от воспаления и следа не осталось))) Очень хорошее и эффективное средство местного действия.",1,0,0,1,0,EF[4]|DI[1],880567,6,0.02888748236000538,0.033052459359169006,0.383411705493927,0.3359512686729431,0.14902326464653015
